Compound,Elements,Element_numbers,H_f,E_total,#_atoms
OH-O-Fe,"['Fe', 'H', 'O']","[1, 1, 2]",-1.21004957,-38.70993728,4
OH-O-Ga,"['Ga', 'H', 'O']","[1, 1, 2]",-1.5547389875,-38.31919495,4
OH-O-Gd,"['Gd', 'H', 'O']","[1, 1, 2]",-2.5773029925,-84.93845097,4
OH-O-In,"['In', 'H', 'O']","[1, 1, 2]",-1.40444888,-54.67803452,4
OH-O-Ir,"['H', 'Ir', 'O']","[1, 1, 2]",-0.54753223,-89.16556792,4
OH-O-La,"['La', 'H', 'O']","[1, 1, 2]",-2.65291214,-69.50968756,4
OH-O-Lu,"['Lu', 'H', 'O']","[1, 1, 2]",-2.78973687,-82.27658648,4
OH-O-Nd,"['Nd', 'H', 'O']","[1, 1, 2]",-2.5936106325,-69.70678153,4
OH-O-Rh,"['H', 'Rh', 'O']","[1, 1, 2]",-0.8422369425,-52.86488677,4
OH-O-Ru,"['H', 'Ru', 'O']","[1, 1, 2]",-0.800851885,-53.77224654,4
OH-O-Sc,"['Sc', 'H', 'O']","[1, 1, 2]",-2.7142150975,-40.83039939,4
OH-O-Sm,"['Sm', 'H', 'O']","[1, 1, 2]",-2.63276329,-70.74379216,4
OH-O-Y,"['Y', 'H', 'O']","[1, 1, 2]",-2.734491985,-54.52650694,4
O-O-Ce,"['Ce', 'O']","[1, 2]",-3.4869070933,-67.38511028,3
O-O-Ge,"['Ge', 'O']","[1, 2]",-1.67367336,-36.38110908,3
O-O-Hf,"['Hf', 'O']","[1, 2]",-3.6135475333,-85.8607316,3
O-O-Ir,"['Ir', 'O']","[1, 2]",-0.6170653767,-85.37288513,3
O-O-Mo,"['Mo', 'O']","[1, 2]",-1.6906859,-52.2530467,3
O-O-Os,"['Os', 'O']","[1, 2]",-0.56077649,-85.75771847,3
O-O-Pd,"['Pd', 'O']","[1, 2]",-0.5358927967,-46.70646739,3
O-O-Pt,"['Pt', 'O']","[1, 2]",-0.6775186867,-84.55234506,3
O-O-Re,"['Re', 'O']","[1, 2]",-1.0341933533,-86.43436906,3
O-O-Ru,"['Ru', 'O']","[1, 2]",-0.9408513933,-49.93764318,3
O-O-Sn,"['Sn', 'O']","[1, 2]",-1.65445234,-53.07594602,3
O-O-Tc,"['Tc', 'O']","[1, 2]",-1.4606548467,-51.74365354,3
O-O-Te,"['Te', 'O']","[1, 2]",-0.64455192,-51.30864476,3
O-O-Ti,"['Ti', 'O']","[1, 2]",-3.19809169,-37.89976407,3
O-O-W,"['W', 'O']","[1, 2]",-1.6436429233,-87.05905777,3
O-O-Zr,"['Zr', 'O']","[1, 2]",-3.53233204,-53.60348512,3
NH-OH-Al,"['Al', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.3323578,-36.752457,5
NH-OH-Bi,"['Bi', 'H', 'N', 'O']","[1, 2, 1, 1]",-0.309355838,-102.38904719,5
NH-OH-Ce,"['Ce', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.476745978,-72.39415289,5
NH-OH-Co,"['Co', 'H', 'N', 'O']","[1, 2, 1, 1]",-0.656546626,-42.83620113,5
NH-OH-Cr,"['Cr', 'H', 'N', 'O']","[1, 2, 1, 1]",-0.921065908,-45.33639754,5
NH-OH-Fe,"['Fe', 'H', 'N', 'O']","[1, 2, 1, 1]",-0.576914392,-43.33593996,5
NH-OH-Ga,"['Ga', 'H', 'N', 'O']","[1, 2, 1, 1]",-0.81355933,-42.74966465,5
NH-OH-Gd,"['Gd', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.443026934,-88.42600267,5
NH-OH-In,"['In', 'H', 'N', 'O']","[1, 2, 1, 1]",-0.699562786,-59.13968193,5
NH-OH-Ir,"['H', 'Ir', 'N', 'O']","[2, 1, 1, 1]",-0.2936719,-95.0254275,5
NH-OH-La,"['La', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.469984264,-72.82958932,5
NH-OH-Lu,"['Lu', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.601671202,-85.70762401,5
NH-OH-Nd,"['Nd', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.438876868,-73.10835234,5
NH-OH-Rh,"['H', 'Rh', 'N', 'O']","[2, 1, 1, 1]",-0.489620646,-58.52567123,5
NH-OH-Ru,"['H', 'Ru', 'N', 'O']","[2, 1, 1, 1]",-0.355887312,-58.92990456,5
NH-OH-Sc,"['Sc', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.562290044,-44.36661822,5
NH-OH-Sm,"['Sm', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.4722044,-74.15539,5
NH-OH-Y,"['Y', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.559565658,-57.96799629,5
PH-OH-Al,"['Al', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.643421426,-34.43234377,5
PH-OH-Bi,"['Bi', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.319930276,-103.56648802,5
PH-OH-Ce,"['Ce', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.152342588,-71.89670458,5
PH-OH-Co,"['Co', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.578387012,-43.5699717,5
PH-OH-Cr,"['Cr', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.605805498,-44.88466413,5
PH-OH-Fe,"['Fe', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.454951592,-43.8506946,5
PH-OH-Ga,"['Ga', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.410925536,-41.86106432,5
PH-OH-Gd,"['Gd', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.078825434,-87.72956381,5
PH-OH-In,"['In', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.431066712,-58.9217702,5
PH-OH-Ir,"['P', 'H', 'Ir', 'O']","[1, 2, 1, 1]",-0.579195664,-97.57761496,5
PH-OH-La,"['La', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.148087324,-72.34467326,5
PH-OH-Lu,"['Lu', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.119363158,-84.42065243,5
PH-OH-Nd,"['Nd', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.098179358,-72.52943343,5
PH-OH-Rh,"['P', 'H', 'Rh', 'O']","[1, 2, 1, 1]",-0.677692792,-60.5906006,5
PH-OH-Ru,"['P', 'H', 'Ru', 'O']","[1, 2, 1, 1]",-0.435394284,-60.45200806,5
PH-OH-Sc,"['Sc', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.094054124,-43.15000726,5
PH-OH-Sm,"['Sm', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.103228004,-73.43507666,5
PH-OH-Y,"['Y', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.136907746,-56.97927537,5
S-OH-Al,"['Al', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.3578532443,-32.40305279,4
S-OH-Bi,"['Bi', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.6689614718,-100.3990857,4
S-OH-Ce,"['Ce', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.9209606367,-71.52458236,4
S-OH-Co,"['Co', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.8444798018,-39.81235902,4
S-OH-Cr,"['Cr', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.1314750218,-42.1379399,4
S-OH-Fe,"['Fe', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.7604989968,-40.3743358,4
S-OH-Ga,"['Ga', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.9103501243,-39.20424031,4
S-OH-Gd,"['Gd', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.98017436925,-73.02862379,4
S-OH-In,"['In', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.9350891218,-56.2631963,4
S-OH-Ir,"['H', 'Ir', 'S', 'O']","[1, 1, 1, 1]",-0.6296567868,-92.95666696,4
S-OH-La,"['La', 'H', 'S', 'O']","[1, 1, 1, 1]",-2.0051482368,-70.38123276,4
S-OH-Lu,"['Lu', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.9915056668,-82.54626248,4
S-OH-Nd,"['Nd', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.9375917368,-70.54530676,4
S-OH-Rh,"['H', 'Rh', 'S', 'O']","[1, 1, 1, 1]",-0.8211528892,-56.24315137,4
S-OH-Ru,"['H', 'Ru', 'S', 'O']","[1, 1, 1, 1]",-0.6078136593,-56.46269445,4
S-OH-Sc,"['Sc', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.9360849168,-41.18047948,4
S-OH-Sm,"['Sm', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.9507802493,-71.47846081,4
S-OH-Y,"['Y', 'H', 'S', 'O']","[1, 1, 1, 1]",-2.0107418618,-55.09410726,4
Se-OH-Al,"['Al', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.12747815,-41.92907429,4
Se-OH-Bi,"['Bi', 'H', 'Se', 'O']","[1, 1, 1, 1]",-0.676359375,-110.87619919,4
Se-OH-Ce,"['Ce', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.9296903775,-80.0576782,4
Se-OH-Co,"['Co', 'H', 'Se', 'O']","[1, 1, 1, 1]",-0.7391721,-49.83865009,4
Se-OH-Cr,"['Cr', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.03107403,-52.18385781,4
Se-OH-Fe,"['Fe', 'H', 'Se', 'O']","[1, 1, 1, 1]",-0.646776,-50.36696569,4
Se-OH-Ga,"['Ga', 'H', 'Se', 'O']","[1, 1, 1, 1]",-0.777191295,-49.11912687,4
Se-OH-Gd,"['Gd', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.8628800775,-83.0069685,4
Se-OH-In,"['In', 'H', 'Se', 'O']","[1, 1, 1, 1]",-0.8493986,-66.36795609,4
Se-OH-Ir,"['H', 'Ir', 'Se', 'O']","[1, 1, 1, 1]",-0.53869928,-103.04035881,4
Se-OH-La,"['La', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.9051742675,-80.42885876,4
Se-OH-Lu,"['Lu', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.848020385,-92.41984323,4
Se-OH-Nd,"['Nd', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.836445185,-80.58824243,4
Se-OH-Rh,"['H', 'Rh', 'Se', 'O']","[1, 1, 1, 1]",-0.754634675,-66.42460039,4
Se-OH-Ru,"['H', 'Ru', 'Se', 'O']","[1, 1, 1, 1]",-0.5018174675,-66.48623156,4
Se-OH-Sc,"['Sc', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.785366235,-51.02512663,4
Se-OH-Sm,"['Sm', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.840636505,-81.48540771,4
Se-OH-Y,"['Y', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.886815295,-65.04592287,4
Te-OH-Al,"['Al', 'Te', 'H', 'O']","[1, 1, 1, 1]",-0.789970385,-57.57652604,4
Te-OH-Bi,"['Bi', 'Te', 'H', 'O']","[1, 1, 1, 1]",-0.636479185,-127.71416124,4
Te-OH-Ce,"['Ce', 'Te', 'H', 'O']","[1, 1, 1, 1]",-1.7361060725,-96.28082379,4
Te-OH-Co,"['Co', 'Te', 'H', 'O']","[1, 1, 1, 1]",-0.5849071675,-66.21907317,4
Te-OH-Cr,"['Cr', 'Te', 'H', 'O']","[1, 1, 1, 1]",-0.9513671275,-68.86251301,4
Te-OH-Fe,"['Fe', 'Te', 'H', 'O']","[1, 1, 1, 1]",-0.614657215,-67.23597336,4
Te-OH-Ga,"['Ga', 'Te', 'H', 'O']","[1, 1, 1, 1]",-0.4993941125,-65.00542095,4
Te-OH-Gd,"['Gd', 'Te', 'H', 'O']","[1, 1, 1, 1]",-1.6370476675,-112.08503517,4
Te-OH-In,"['In', 'Te', 'H', 'O']","[1, 1, 1, 1]",-0.6447135175,-82.54669857,4
Te-OH-Ir,"['Te', 'H', 'Ir', 'O']","[1, 1, 1, 1]",-0.4699489725,-119.76284039,4
Te-OH-La,"['La', 'Te', 'H', 'O']","[1, 1, 1, 1]",-1.7010253175,-96.60974577,4
Te-OH-Lu,"['Lu', 'Te', 'H', 'O']","[1, 1, 1, 1]",-1.57761889,-108.33572006,4
Te-OH-Nd,"['Nd', 'Te', 'H', 'O']","[1, 1, 1, 1]",-1.6286012225,-96.75434939,4
Te-OH-Rh,"['Te', 'H', 'Rh', 'O']","[1, 1, 1, 1]",-0.699554725,-83.2017634,4
Te-OH-Ru,"['Te', 'H', 'Ru', 'O']","[1, 1, 1, 1]",-0.3986361575,-83.07098913,4
Te-OH-Sc,"['Sc', 'Te', 'H', 'O']","[1, 1, 1, 1]",-1.532716545,-67.01201068,4
Te-OH-Sm,"['Sm', 'Te', 'H', 'O']","[1, 1, 1, 1]",-1.6117858475,-97.56748789,4
Te-OH-Y,"['Y', 'Te', 'H', 'O']","[1, 1, 1, 1]",-1.6297806075,-81.01526693,4
Br-Br-Ba,"['Ba', 'Br']","[1, 2]",-2.4935522433,-85.32260373,3
Br-Br-Be,"['Be', 'Br']","[1, 2]",-1.00107567,-45.66107401,3
Br-Br-Ca,"['Ca', 'Br']","[1, 2]",-2.4088860733,-55.14710522,3
Br-Br-Cd,"['Cd', 'Br']","[1, 2]",-1.12488076,-72.07608928,3
Br-Br-Co,"['Co', 'Br']","[1, 2]",-0.59269749,-57.28743947,3
Br-Br-Cu,"['Cu', 'Br']","[1, 2]",-0.4449740767,-54.79826923,3
Br-Br-Fe,"['Fe', 'Br']","[1, 2]",-0.57120809,-58.12087127,3
Br-Br-Mg,"['Mg', 'Br']","[1, 2]",-1.81993074,-48.74463922,3
Br-Br-Mn,"['Mn', 'Br']","[1, 2]",-1.35089445,-60.44223035,3
Br-Br-Ni,"['Ni', 'Br']","[1, 2]",-0.8670527033,-57.07930511,3
Br-Br-Pb,"['Pb', 'Br']","[1, 2]",-1.0722466933,-117.24998708,3
Br-Br-Pd,"['Pd', 'Br']","[1, 2]",-0.4666610833,-72.49003025,3
Br-Br-Pt,"['Pt', 'Br']","[1, 2]",-0.12649545,-108.89053335,3
Br-Br-Sr,"['Sr', 'Br']","[1, 2]",-2.4751572333,-67.9920187,3
Br-Br-Zn,"['Zn', 'Br']","[1, 2]",-1.04212917,-54.89983451,3
Cl-Cl-Ba,"['Ba', 'Cl']","[1, 2]",-2.74706322,-63.51755266,3
Cl-Cl-Be,"['Be', 'Cl']","[1, 2]",-1.3815169733,-24.23681392,3
Cl-Cl-Ca,"['Ca', 'Cl']","[1, 2]",-2.7000260533,-33.45494116,3
Cl-Cl-Cd,"['Cd', 'Cl']","[1, 2]",-1.3169094933,-50.08659148,3
Cl-Cl-Co,"['Co', 'Cl']","[1, 2]",-0.82437527,-35.41688881,3
Cl-Cl-Cu,"['Cu', 'Cl']","[1, 2]",-0.6315309767,-32.79235593,3
Cl-Cl-Fe,"['Fe', 'Cl']","[1, 2]",-0.8690234367,-36.44873331,3
Cl-Cl-Mg,"['Mg', 'Cl']","[1, 2]",-2.1573382733,-27.19127782,3
Cl-Cl-Mn,"['Mn', 'Cl']","[1, 2]",-1.60051932,-38.62552096,3
Cl-Cl-Ni,"['Ni', 'Cl']","[1, 2]",-1.1300733267,-35.30278298,3
Cl-Cl-Pb,"['Pb', 'Cl']","[1, 2]",-1.2318974,-95.1633552,3
Cl-Cl-Pd,"['Pd', 'Cl']","[1, 2]",-0.59967014,-50.32347342,3
Cl-Cl-Pt,"['Pt', 'Cl']","[1, 2]",-0.1975005567,-86.53796467,3
Cl-Cl-Sr,"['Sr', 'Cl']","[1, 2]",-2.7502982333,-46.2518577,3
Cl-Cl-Zn,"['Zn', 'Cl']","[1, 2]",-1.2965971467,-33.09765444,3
CN-CN-Ba,"['Ba', 'C', 'N']","[1, 2, 2]",-0.131028746,-78.94709273,5
CN-CN-Be,"['Be', 'C', 'N']","[1, 2, 2]",0.766575826,-39.27496987,5
CN-CN-Ca,"['Ca', 'C', 'N']","[1, 2, 2]",-0.043531204,-48.58810502,5
CN-CN-Cd,"['Cd', 'C', 'N']","[1, 2, 2]",0.738099994,-65.46094903,5
CN-CN-Co,"['Co', 'C', 'N']","[1, 2, 2]",0.884639366,-51.53615217,5
CN-CN-Cu,"['Cu', 'C', 'N']","[1, 2, 2]",1.028019308,-48.77325246,5
CN-CN-Fe,"['Fe', 'C', 'N']","[1, 2, 2]",0.833386562,-52.69031619,5
CN-CN-Mg,"['Mg', 'C', 'N']","[1, 2, 2]",0.292618872,-42.27175464,5
CN-CN-Mn,"['Mn', 'C', 'N']","[1, 2, 2]",0.706692872,-53.30608464,5
CN-CN-Ni,"['Ni', 'C', 'N']","[1, 2, 2]",0.922866166,-50.31381817,5
CN-CN-Pb,"['Pb', 'C', 'N']","[1, 2, 2]",0.7613786,-110.676356,5
CN-CN-Pd,"['Pd', 'C', 'N']","[1, 2, 2]",0.913316874,-66.97346463,5
CN-CN-Pt,"['Pt', 'C', 'N']","[1, 2, 2]",0.977883386,-104.07163207,5
CN-CN-Sr,"['Sr', 'C', 'N']","[1, 2, 2]",-0.100964206,-61.52137003,5
CN-CN-Zn,"['Zn', 'C', 'N']","[1, 2, 2]",0.75543406,-48.4462787,5
F-F-Ba,"['Ba', 'F']","[1, 2]",-3.86411582,-58.10003666,3
F-F-Be,"['Be', 'F']","[1, 2]",-3.1865983867,-20.88338436,3
F-F-Ca,"['Ca', 'F']","[1, 2]",-4.0356293933,-28.69307738,3
F-F-Cd,"['Cd', 'F']","[1, 2]",-2.28580987,-44.22461881,3
F-F-Co,"['Co', 'F']","[1, 2]",-2.17949004,-30.71355932,3
F-F-Cu,"['Cu', 'F']","[1, 2]",-1.6276481767,-27.01203373,3
F-F-Fe,"['Fe', 'F']","[1, 2]",-2.16979648,-31.58237864,3
F-F-Mg,"['Mg', 'F']","[1, 2]",-3.6946548233,-23.03455367,3
F-F-Mn,"['Mn', 'F']","[1, 2]",-2.6246839233,-32.92934097,3
F-F-Ni,"['Ni', 'F']","[1, 2]",-2.2081496033,-29.76833801,3
F-F-Pb,"['Pb', 'F']","[1, 2]",-2.26214717,-89.48543071,3
F-F-Pd,"['Pd', 'F']","[1, 2]",-1.2927925167,-43.63416675,3
F-F-Pt,"['Pt', 'F']","[1, 2]",-0.5576377233,-78.84970237,3
F-F-Sr,"['Sr', 'F']","[1, 2]",-3.9964955967,-41.22177599,3
F-F-Zn,"['Zn', 'F']","[1, 2]",-2.428196,-27.7237772,3
I-I-Ba,"['Ba', 'I']","[1, 2]",-1.94415893,-118.71798179,3
I-I-Be,"['Be', 'I']","[1, 2]",-0.3463798233,-78.74054447,3
I-I-Ca,"['Ca', 'I']","[1, 2]",-1.8129115733,-88.40273972,3
I-I-Cd,"['Cd', 'I']","[1, 2]",-0.6496440233,-105.69393707,3
I-I-Co,"['Co', 'I']","[1, 2]",-0.15173305,-91.00810415,3
I-I-Cu,"['Cu', 'I']","[1, 2]",-0.0327768333,-88.6052355,3
I-I-Fe,"['Fe', 'I']","[1, 2]",-0.0683197067,-91.65576412,3
I-I-Mg,"['Mg', 'I']","[1, 2]",-1.18340106,-81.87860818,3
I-I-Mn,"['Mn', 'I']","[1, 2]",-0.8124796033,-93.87054381,3
I-I-Ni,"['Ni', 'I']","[1, 2]",-0.3462317967,-90.56040039,3
I-I-Pb,"['Pb', 'I']","[1, 2]",-0.65550436,-151.04331808,3
I-I-Pd,"['Pd', 'I']","[1, 2]",-0.15278374,-106.59195622,3
I-I-Pt,"['Pt', 'I']","[1, 2]",0.06681862,-143.35414914,3
I-I-Sr,"['Sr', 'I']","[1, 2]",-1.9020053367,-101.31612101,3
I-I-Zn,"['Zn', 'I']","[1, 2]",-0.5031786767,-88.32654103,3
NC-NC-Ba,"['Ba', 'C', 'N']","[1, 2, 2]",-0.237819972,-79.48104886,5
NC-NC-Be,"['Be', 'C', 'N']","[1, 2, 2]",0.56288523,-40.29342285,5
NC-NC-Ca,"['Ca', 'C', 'N']","[1, 2, 2]",-0.213145098,-49.43617449,5
NC-NC-Cd,"['Cd', 'C', 'N']","[1, 2, 2]",0.675646876,-65.77321462,5
NC-NC-Co,"['Co', 'C', 'N']","[1, 2, 2]",0.818935042,-51.86467379,5
NC-NC-Cu,"['Cu', 'C', 'N']","[1, 2, 2]",1.06401717,-48.59326315,5
NC-NC-Fe,"['Fe', 'C', 'N']","[1, 2, 2]",0.792837396,-52.89306202,5
NC-NC-Mg,"['Mg', 'C', 'N']","[1, 2, 2]",0.090249556,-43.28360122,5
NC-NC-Mn,"['Mn', 'C', 'N']","[1, 2, 2]",0.488854444,-54.39527678,5
NC-NC-Ni,"['Ni', 'C', 'N']","[1, 2, 2]",0.769766192,-51.07931804,5
NC-NC-Pb,"['Pb', 'C', 'N']","[1, 2, 2]",0.732690686,-110.81979557,5
NC-NC-Pd,"['Pd', 'C', 'N']","[1, 2, 2]",1.217859554,-65.45075123,5
NC-NC-Pt,"['Pt', 'C', 'N']","[1, 2, 2]",1.429890228,-101.81159786,5
NC-NC-Sr,"['Sr', 'C', 'N']","[1, 2, 2]",-0.238937636,-62.21123718,5
NC-NC-Zn,"['Zn', 'C', 'N']","[1, 2, 2]",0.672424268,-48.86132766,5
NCO-NCO-Ba,"['Ba', 'C', 'N', 'O']","[1, 2, 2, 2]",-1.0804593943,-98.16675376,7
NCO-NCO-Be,"['Be', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.6932053757,-60.27187563,7
NCO-NCO-Ca,"['Ca', 'C', 'N', 'O']","[1, 2, 2, 2]",-1.1457717914,-68.70244054,7
NCO-NCO-Cd,"['Cd', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.5514124957,-85.32292547,7
NCO-NCO-Co,"['Co', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.4891322386,-71.69486367,7
NCO-NCO-Cu,"['Cu', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.2949664729,-68.28970331,7
NCO-NCO-Fe,"['Fe', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.5089546471,-72.73152053,7
NCO-NCO-Mg,"['Mg', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.98301524,-62.92754468,7
NCO-NCO-Mn,"['Mn', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.7303345186,-74.26347963,7
NCO-NCO-Ni,"['Ni', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.5372342057,-71.00037744,7
NCO-NCO-Pb,"['Pb', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.4672813171,-130.06580722,7
NCO-NCO-Pd,"['Pd', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.2586019443,-85.66185161,7
NCO-NCO-Pt,"['Pt', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.07070324,-121.76756068,7
NCO-NCO-Sr,"['Sr', 'C', 'N', 'O']","[1, 2, 2, 2]",-1.1240824557,-81.19671519,7
NCO-NCO-Zn,"['Zn', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.5823052243,-68.61117457,7
NCS-NCS-Ba,"['Ba', 'C', 'S', 'N']","[1, 2, 2, 2]",-0.4655822163,-100.78781514,7
NCS-NCS-Be,"['Be', 'C', 'S', 'N']","[1, 2, 2, 2]",0.1524510437,-61.27748232,7
NCS-NCS-Ca,"['Ca', 'C', 'S', 'N']","[1, 2, 2, 2]",-0.4872764063,-71.01817447,7
NCS-NCS-Cd,"['Cd', 'C', 'S', 'N']","[1, 2, 2, 2]",0.131940328,-87.46465733,7
NCS-NCS-Co,"['Co', 'C', 'S', 'N']","[1, 2, 2, 2]",0.2997939066,-73.09758228,7
NCS-NCS-Cu,"['Cu', 'C', 'S', 'N']","[1, 2, 2, 2]",0.3677015209,-70.57622898,7
NCS-NCS-Fe,"['Fe', 'C', 'S', 'N']","[1, 2, 2, 2]",0.2343729894,-74.4534287,7
NCS-NCS-Mg,"['Mg', 'C', 'S', 'N']","[1, 2, 2, 2]",-0.2560735934,-64.76415478,7
NCS-NCS-Mn,"['Mn', 'C', 'S', 'N']","[1, 2, 2, 2]",0.0219688209,-75.92255788,7
NCS-NCS-Ni,"['Ni', 'C', 'S', 'N']","[1, 2, 2, 2]",0.212432738,-72.67791046,7
NCS-NCS-Pb,"['Pb', 'C', 'S', 'N']","[1, 2, 2, 2]",0.1608847366,-132.59384647,7
NCS-NCS-Pd,"['Pd', 'C', 'S', 'N']","[1, 2, 2, 2]",0.3966056837,-88.00059984,7
NCS-NCS-Pt,"['Pt', 'C', 'S', 'N']","[1, 2, 2, 2]",0.5719485494,-124.19419978,7
NCS-NCS-Sr,"['Sr', 'C', 'S', 'N']","[1, 2, 2, 2]",-0.4880810534,-83.669907,7
NCS-NCS-Zn,"['Zn', 'C', 'S', 'N']","[1, 2, 2, 2]",0.1469364237,-70.43168466,7
NO-NO-Ba,"['Ba', 'N', 'O']","[1, 2, 2]",-0.433359888,-72.58483544,5
NO-NO-Be,"['Be', 'N', 'O']","[1, 2, 2]",-0.09661036,-35.7169878,5
NO-NO-Ca,"['Ca', 'N', 'O']","[1, 2, 2]",-0.446872354,-42.73089777,5
NO-NO-Cd,"['Cd', 'N', 'O']","[1, 2, 2]",0.321854772,-59.66826214,5
NO-NO-Co,"['Co', 'N', 'O']","[1, 2, 2]",-0.080480816,-48.48784008,5
NO-NO-Cu,"['Cu', 'N', 'O']","[1, 2, 2]",0.16781645,-45.20035375,5
NO-NO-Fe,"['Fe', 'N', 'O']","[1, 2, 2]",-0.09524522,-49.4595621,5
NO-NO-Mg,"['Mg', 'N', 'O']","[1, 2, 2]",-0.107160786,-36.39673993,5
